source,title,description
btc-echo,"""Begründeter Verdacht"": BaFin nimmt Stock Token von Binance ins Visier","Stock Token ermöglichen es, an der Wertentwicklung von Unternehmen teilzuhaben. Nun setzt sich die BaFin mit dem Investmentvehikel auseinander."
 cash,Starkes Schlussquartal - Beliebte Logitech-Aktie: Warum nur bleibt das Kursfeuerwerk aus?,Logitech übertrifft die Erwartungen auch im Schlussquartal um Längen. Dennoch reagiert die Börse unterkühlt. Macht das die Aktie nun zum «blinden Kauf»? - Und: Credit Suisse beisst sich regelrecht an Meyer Burger fest.
www.nau.ch,Meghan Markle: Sie schickt Archie in die Vorschule! - Nau.ch,"Meghan Markle schickt ihren Archie Harrison (bald 2) in eine ähnliche Vorschule, wie Prinz Louis (3) sie besucht."
blick.ch,Tamara Berger: Megawatt half ihr durch die Krebserkrankung - BLICK,Mit ihrem neuen Lied «Loieherz» geben Megawatt ihren Hörern Motivation für eine schwierige Aufgabe. Es gab auch Tamara Berger Kraft in der Behandlung gegen ihren Krebs.
www.nau.ch,Verona Pooth: Sohn (17) sorgt mit Schlägerei für Aufsehen - Nau.ch,Teenager sind wohl nie einfach. Das muss jetzt auch Moderatorin Verona Pooth erfahren. Ihr Sohn (17) packt in einem Podcast über seine Flausen aus.
blick.ch,Willi Herrens Ehefrau Jasmin kommt nicht zu seiner Beerdigung - BLICK,Jasmin Herren wird nicht an der Trauerfeier ihres verstorbenen Mannes dabei sein. Der im Alter von 45 Jahren verstorbene TV-Star Willi Herren soll am 5. Mai in Köln beerdigt werden.
blick.ch,Thomas Gottschalk und Karina Mross schwärmen voneinander - BLICK,"Thomas Gottschalk und Karina Mross haben ineinander ihren Traumpartner gefunden. Wie die beiden in einem seltenen Paar-Interview verraten, seien sie auch nach zwei Jahren noch verliebt wie am ersten Tag."
telebasel.ch,Zehn Jahre royale Traumhochzeit: «Zu Hause einfach William und Kate» - Telebasel,Sie sind die Hoffnungsträger des britischen Königshauses. Prinz William (38) und seine Frau Herzogin Kate (39) feiern am Donnerstag ihren zehnten Hochzeitstag.
blick.ch,Heino streitet sich um Millionen-Erbe wegen geplatzter Adoption - BLICK,Schlagersänger Heino wollte aus Gutmütigkeit ein Ehepaar adoptieren. Doch der Schuss ging nach hinten los und endete in einem Streit um sein Millionen-Erbe.
www.srf.ch,Swiss Press Photo Award - Sarah Carp wird «Swiss Press Photographer of the Year» - Schweizer Radio und Fernsehen (SRF),"Bilder, die das Jahr 2020 prägten: Sechs Fotografinnen und Fotografen wurden im Rahmen der Swiss Press Awards geehrt."
20 minuten,«Vier Jahre nicht beim Frauenarzt» - Influencerin Julia Holz hat Krebs im fortgeschrittenen Stadium - 20 Minuten,Julia Holz schockiert ihre Community: Die Influencerin und Mutter einer Tochter hat Gebärmutterhalskrebs.
blick.ch,"«Bauer sucht Frau»-Star Maik ist tot, Witwe Judith trauert - BLICK",«Bauer sucht Frau»-Landwirt Maik und seine Ehefrau Judith gaben sich 2008 im Fernsehen das Ja-Wort. Nun ist der Rinderzüchter überraschend gestorben.
blick.ch,Gimma zahlt Bieler (18) die «Sound of da Police»-Busse - BLICK,"Ein Bieler Student postet ein Video auf Tiktok. Dort zeigt er, wie er von zwei Polizisten gebüsst wird – weil er ein Hip-Hop-Lied gesungen hat. Rapper Gimma eilt dem 18-Jährigen nun zur Hilfe."
20 minuten,«Game of Thrones»-Star - Natalie Dormer ist Mama geworden – und niemand hats gemerkt - 20 Minuten,Bereits im Januar hat Natalie Dormer ihr erstes Kind zur Welt gebracht. Aber erst jetzt teilt die Schauspielerin die News mit der Welt.
www.nau.ch,Prinz Harry und Meghan Markle: Herzogin Kates Onkel beleidigt sie - Nau.ch,Der Onkel von Kate Middleton ist wegen des Oprah-Interviews sauer auf Prinz Harry und Meghan Markle. Gary Goldsmith glaubt dem Paar «kein Wort».
bluewin.ch,Daniel Bumann hört auf – ein Best-of seiner Sprüche - bluewin.ch,Nach 101 Folgen hat der Restauranttester genug. Daniel Bumann will  neue Wege einschlagen.
tagesanzeiger.ch,Youtube-Star Chris Morocco - Schweizer Rösti vom US-Küchenchef - Tages-Anzeiger,Der amerikanische Ausnahmekoch hat sich an unserer Nationalspeise versucht – und dafür viel Kritik von Schweizer Fans geerntet.
www.rtl.de,GZSZ: Verscherzt Lilly es sich mit Nihats Familie? - RTL Online,GZSZ-Folge 7247 vom 29.04.2021: Verscherzt Lilly es sich mit Nihats Familie
